2026-04-12 14:21:04 | INFO     | src.recommendation.engine | Đã huấn luyện lại mô hình KNN với 7 bài hát.
2026-04-12 14:21:04 | INFO     | src.services.song_service | Hoàn tất xử lý AI cho song_id=12.
2026-04-12 14:21:50 | INFO     | src.recommendation.knn_model | Đã tải mô hình KNN từ 'data/knn_model.pkl' (7 bài hát)
2026-04-12 14:21:50 | INFO     | src.recommendation.engine | get_similar_songs: target=10 top_k=5 results=[6, 8, 11, 12, 7]
2026-04-12 14:21:55 | INFO     | src.recommendation.knn_model | Đã tải mô hình KNN từ 'data/knn_model.pkl' (7 bài hát)
2026-04-12 14:21:55 | INFO     | src.recommendation.engine | get_similar_songs: target=12 top_k=5 results=[7, 6, 9, 11, 8]
2026-04-12 14:22:06 | INFO     | src.recommendation.knn_model | Đã tải mô hình KNN từ 'data/knn_model.pkl' (7 bài hát)
2026-04-12 14:22:06 | INFO     | src.recommendation.engine | get_similar_songs: target=10 top_k=5 results=[6, 8, 11, 12, 7]
2026-04-12 14:22:10 | INFO     | src.recommendation.knn_model | Đã tải mô hình KNN từ 'data/knn_model.pkl' (7 bài hát)
2026-04-12 14:22:10 | INFO     | src.recommendation.engine | get_similar_songs: target=12 top_k=5 results=[7, 6, 9, 11, 8]
2026-04-12 14:24:33 | INFO     | src.recommendation.knn_model | Đã tải mô hình KNN từ 'data/knn_model.pkl' (7 bài hát)
